drug_concept_id,ingredient_concept_id,amount_value,amount_unit_concept_id,numerator_value,numerator_unit_concept_id,denominator_value,denominator_unit_concept_id,box_size,valid_start_date,valid_end_date,invalid_reason,load_table_id,load_row_id
44169014,19009540,,,0.0136,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
41180176,1189596,,,0.0000486,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
43726513,19000537,,,2.3,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
44089862,19028106,,,0.7,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
40838775,19000537,,,1.4,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
42726623,42898482,,,43.3,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
41025320,19071802,,,0.00012,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
42729339,19069149,,,0.676,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
40243285,939871,,,0.0299,9551,,8587,,01/01/1970,31/12/2099,,drug_strength,0
19104894,989878,,,0.007,8576,,8576,,01/01/1970,31/12/2099,,drug_strength,0
44032328,948856,,,0.014,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
42730612,40798855,,,3.06,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
41066552,1550557,,,0.0025,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
1234537,925952,,,0.005,8576,,8576,,24/08/2023,31/12/2099,,drug_strength,0
19105150,19099415,,,0.005,8576,,8576,,01/01/1970,31/12/2099,,drug_strength,0
1235078,1143374,,,0.01,8576,,8576,,24/08/2023,31/12/2099,,drug_strength,0
41209282,40799080,,,0.01,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
41087468,920458,,,0.01,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
41172363,915392,,,0.01,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
41192990,44506785,,,0.01,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
41020664,40799153,,,0.02,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
44063921,1129625,,,0.02,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
40243926,967823,,,0.04,9551,,8587,,01/01/1970,31/12/2099,,drug_strength,0
43273920,964407,,,0.154,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
44164328,43012157,,,0.000423,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
41079379,35604869,,,0.106,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
43620110,19095309,,,0.421,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
41138955,42900468,,,0.000001,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
43851501,987153,,,0.000001,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
779590,908464,,,10.8,8576,,8587,,01/01/1970,31/12/2099,,drug_strength,0
40226977,989878,,,0.025,8576,,8576,,01/01/1970,31/12/2099,,drug_strength,0
41179370,35603645,,,0.05,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
40984067,922868,,,0.05,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
42710107,42899425,,,0.05,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
40982490,907879,,,0.05,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
42726149,44818471,,,0.05,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
43689619,19062817,,,0.05,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
21119108,1000995,,,0.1,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
44090358,918172,,,0.1,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
36885254,1180412,,,0.4,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
40993768,918172,,,0.4,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
44112485,1000995,,,1.1,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
589185,19007572,,,1.6,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
19079076,950933,,,0.788,8576,,8576,,01/01/1970,31/12/2099,,drug_strength,0
19131586,19008897,,,1.54,8576,,8587,,01/01/1970,31/12/2099,,drug_strength,0
42716852,19018544,,,0.74,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
42713036,19049105,,,0.0108,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
41305137,42903948,,,3.34,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
